Number,Questions,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Points
1,Which of the following is not a fundamental data type in C++?,A) int,B) float,C) double,D) string,D,1
2,Which keyword is used to define a class in C++?,A) struct,B) class,C) object,D) define,B,1
3,What is the size of an int variable in C++ (assuming a 32-bit system)?,A) 2bytes,B) 4bytes,C) 8 bytes,D) 16 bytes ,B,1
4,What is the correct way to overload the '<<' operator in C++?,"A) ostream& operator<<(ostream& os, const MyClass& obj)","B) ostream& operator<<(const MyClass& obj, ostream& os)","C) ostream& operator<<(MyClass& obj, ostream& os)",D) ostream& operator<<(const MyClass& obj),A,1
5,Which of the following is used to define a function in C++?,A) function,B) func,C) def,D) none of the above,D,1
6,Which header file is required to use the std::vector container?,A) <vector.h>,B) <array>,C) <vector>,D) <list>,C,1
7,Which of the following is a valid constructor for a class named MyClass?,A) MyClass(),B) MyClass(void),C) MyClass(int a),D) all of the above,D,1
8,"Which data structure uses FIFO (First In, First Out) principle?",A) stack,B) queue,C) Linked List,D) Tree,B,1
9,What is the worst-case time complexity of binary search?,A) O(n),B) O(log n),C) O(n log n),D) O(n^2),B,1
10,"In a binary tree, the number of leaf nodes is always one more than the number of nodes with two children.",A) True,B) False,C) -,D) -,A,1
11,Which of the following data structures is not linear?,A) Array,B) Linked List,C) Binary Tree,D) Stack,C,1
12,Which of the following sorting algorithms has the best average-case time complexity?,A) Bubble Sort,B) Selection Sort,C) Quick Sort,D) Insertion Sort,C,1
13,What data structure is used in the implementation of a recursion?,A) Queue,B) Stack,C) Linked List,D) Tree,B,1
14,Which of the following operations is performed more efficiently by doubly linked list than by singly linked list?,A) Searching of an unsorted list for a given item,B) Deletion of a node whose location in given,C) Inverting a node after the node with a given location,D) Traversing a list to process each node,B,1
15,What is the height of a balanced binary search tree with n nodes?,A) O(n) ,B) O(n log n),C) O(log n),D) O(1),C,1
16,Which traversal technique is used in Depth-First Search (DFS)?,A) Inorder,B) Preorder,C) Postorder,D) All of the above,D,1
17,What is the main disadvantage of a linked list over an array?,A) Random access is not allowed,B) It is not easy to insert and delete elements,C) Extra memory space for a pointer is required with each element,D) Both A and C,D,1
18,Which of the following correctly defines an inline function in C++?,A) inline void func();,B) void inline func();,C) inline void func (){},D) void func() inline;,C,1
19,Which of the following is not a valid scope in C++?,A) Local,B) Global,C) Namespace,D) File,D,1
20,Which of the following is the correct syntax to declare a pointer in C++?,A) int ptr*;,B) int *ptr;,C) int ptr;,D) *int ptr;,B,1
21,Which feature of OOP indicates code reusability?,A) Encapsulation,B) Inheritance,C) Polymorphism,D) Abstract,B,1
22,What is a destructor in C++?,A) A function called when an object is created,B) A function called when an object is destroyed,C) A function called when memory is allocated,D) A function called to initialize an object,B,1
23,What is the purpose of the 'this' pointer in C++?,A) To point to the object that invoked the member function,B) To point to the base class of an object,C) To point to the next object in an array,D) To point to a global variable,A,1
24,Which of the following is a valid way to declare an array in C++?,"A) int arr[] = {1, 2, 3};","B) int arr[3] = {1, 2, 3};",C) int arr[3];,D) All of the above,D,1
25,"Which data structure uses LIFO (Last In, First Out) principle?",A) Stack,B) Queue,C) Linked List,D) Tree,A,1
26,What is the best case time complexity of bubble sort?,A) O(n),B) O(n log n),C) O(n^2),D) O(1),A,1
27,Which of the following is not a self-balancing binary search tree?,A) AVL Tree,B) Red-Black Tree,C) B-Tree,D) Binary Search Tree (BST),D,1
28,"In a max-heap, the value of a node is always __________ the value of its children.",A) Greater than or equal to,B) Less than or equal to,C) Equal to,D) None of the above,A,1
29,Which of the following algorithms is used to find the shortest path in a weighted graph?,A) Prim's Algorithm,B) Kruskal's Algorithm,C) Dijkstra's Algorithm,D) DFS Algorithm,C,1
30,Which data structure is mainly used for implementing recursive function calls?,A) Queue,B) Stack,C) Heap,D) Array,B,1
31,Which of the following is not an application of a stack?,A) Function calls,B) Undo mechanisms in text editors,C) Page replacement algorithms,D) Expression evaluation,C,1
32,Which of the following data structures is used to implement BFS (Breadth-First Search)?,A) Stack,B) Queue,C) Linked List,D) Tree,B,1
33,What is the time complexity to search for an element in a balanced binary search tree?,A) O(n),B) O(log n),C) O(n log n),D) O(1),B,1
34,Which of the following is not a type of linked list?,A) Singly linked list,B) Doubly linked list,C) Circular linked list,D) Binary linked list,D,1
35,What is the correct syntax for a for loop in C++?,A) for (int i = 0; i < 10; i++),B) for (int i = 0; i < 10; ++i),C) for (int i = 0; i < 10; i += 1),D) All of the above,D,1
36,Which of the following is used to dynamically allocate memory in C++?,A) malloc,B) calloc,C) new,D) alloc,C,1
37,Which header file is needed to use std::string in C++?,A) <iostream>,B) <string>,C) <cstring>,D) <cstdlib>,B,1
38,Which of the following operators is used to allocate memory for an array in C++?,A) malloc,B) new,C) calloc,D) realloc,B,1
39,Which of the following is correct about pure virtual functions in C++?,A) They are functions with no implementation.,B) They must be overridden in derived classes.,C) They make the class abstract.,D) All of the above,D,1
40,Which of the following types of inheritance is not supported in C++?,A) Single inheritance,B) Multiple inheritance,C) Multilevel inheritance,D) Hybrid inheritance,D,1
41,"In which data structure, each element points to the next, forming a sequence?",A) Stack,B) Queue,C) Linked List,D) Tree,C,1
42,Which of the following operations is the fastest on an array?,A) Insertion,B) Deletion,C) Access,D) Traversal,C,1
43,Which sorting algorithm is the most efficient for large datasets?,A) Bubble Sort,B) Insertion Sort,C) Merge Sort,D) Selection Sort,C,1
44,What is a deque in data structures?,A) Double-ended queue,B) A queue with two levels,C) A queue with limited size,D) A circular queue,A,1
45,"Which of the following data structures provides an efficient way of searching, inserting, and deleting elements?",A) Array,B) Linked List,C) Hash Table,D) Queue,C,1
46,Which of the following algorithms uses a divide and conquer approach?,A) Bubble Sort,B) Merge Sort,C) Insertion Sort,D) Selection Sort,B,1
47,What is the height of a complete binary tree with n nodes?,A) O(n),B) O(n log n),C) O(log n),D) O(1),C,1
48,Which data structure is used to implement a priority queue?,A) Stack,B) Linked List,C) Heap,D) Array,C,1
49,Which traversal technique is used in Breadth-First Search (BFS)?,A) Preorder,B) Inorder,C) Postorder,D) Level-order,D,1
50,What is the main advantage of a doubly linked list over a singly linked list?,A) Requires less memory,B) Easier to implement,C) Can be traversed in both directions,D) Simpler algorithms for insertion and deletion,C,1
51,What is the correct way to declare a constant pointer in C++?,A) int* const ptr;,B) const int* ptr;,C) int const* ptr;,D) const int* const ptr;,A,1
52,Which keyword is used to prevent a class from being inherited in C++?,A) final,B) sealed,C) protected,D) private,A,1
53,What does the keyword 'static' mean when applied to a member variable of a class?,A) The variable is shared by all instances of the class.,B) The variable is unique to each instance of the class.,C) The variable is initialized only once.,D) The variable cannot be changed.,A,1
54,Which of the following operators cannot be overloaded in C++?,A) +,B) <<,C) ::,D) [],C,1
55,What is a pure virtual function in C++?,A) A function with no implementation,B) A function with implementation in the base class,C) A function with a default implementation,D) A function that cannot be overridden,A,1
56,Which of the following is the correct way to create an instance of a class in C++?,A) ClassName object;,B) ClassName* object = new ClassName();,C) ClassName object();,D) Both A and B,D,1
57,Which of the following is used to define a block of code that needs to be executed before any object of the class is created?,A) Destructor,B) Constructor,C) Static block,D) None of the above,C,1
58,Which function is used to read a line of text from the standard input in C++?,A) scanf,B) cin,C) gets,D) getline,D,1
59,Which of the following is not a valid reserved keyword in C++?,A) auto,B) default,C) register,D) implement,D,1
60,"What does the following code do?  ( int arr[5] = {1, 2, 3, 4, 5};   std::cout << arr[2] + arr[4];  )",A) Outputs 5,B) Outputs 8,C) Outputs 7,D) Outputs 9,B,4
61,What is the correct syntax for a destructor in C++?,A) ~ClassName(),B) !ClassName(),C) %ClassName(),D) ^ClassName(),A,1
62,Which operator is used to access the members of a structure through a pointer?,A) .,B) ->,C) *,D) &,B,1
63,What is the correct way to declare a function that does not return any value?,A) void functionName();,B) int functionName();,C) void functionName;,D) functionName();,A,1
64,Which of the following correctly defines a friend function in C++?,A) friend void func();,B) void friend func();,C) friend class func();,D) None of the above,A,1
65,Which data structure allows insertion and deletion at both ends?,A) Stack,B) Queue,C) Deque,D) Array,C,1
66,Which of the following is not a characteristic of a binary search tree?,A) The left subtree contains only nodes with keys less than the parent node's key.,B) The right subtree contains only nodes with keys greater than the parent node's key.,C) Both left and right subtrees must also be binary search trees.,D) All keys must be unique.,D,1
67,Which data structure is used for implementing LRU (Least Recently Used) cache?,A) Stack,B) Queue,C) Deque,D) Hash Map,D,1
68,Which traversal method is used to get the nodes of a binary search tree in ascending order?,A) Preorder,B) Inorder,C) Postorder,D) Level-order,B,1
69,Which data structure is used to implement a graph?,A) Adjacency matrix,B) Adjacency list,C) Both A and B,D) None of the above,C,1
70,What is the time complexity of inserting an element into a heap?,A) O(1),B) O(log n),C) O(n),D) O(n log n),B,1
71,Which of the following is not a balanced tree?,A) AVL tree,B) Red-Black tree,C) Splay tree,D) Binary search tree,D,1
72,What is the time complexity of accessing an element in an array?,A) O(1),B) O(log n),C) O(n),D) O(n log n),A,1
73,Which of the following data structures is not used for implementing dynamic programming algorithms?,A) Array,B) Matrix,C) Tree,D) Graph,C,1
74,Which of the following sorting algorithms is an example of a stable sort?,A) Quick Sort,B) Merge Sort,C) Heap Sort,D) Selection Sort,B,1
75,Which of the following correctly describes the purpose of the 'virtual' keyword in C++?,A) To declare a function as pure virtual,B) To declare a function to be overridden in derived classes,C) To allow late binding of functions,D) All of the above,D,1
76,What is the main use of an abstract class in C++?,A) To create a class with no objects,B) To serve as a base class for other classes,C) To create a class that cannot be inherited,D) To define constants,B,1
77,Which of the following is not a type of polymorphism in C++?,A) Compile-time polymorphism,B) Run-time polymorphism,C) Overloading polymorphism,D) Virtual polymorphism,D,1
78,Which of the following types of inheritance is supported in C++?,A) Single inheritance,B) Multiple inheritance,C) Multilevel inheritance,D) All of the above,D,1
79,Which of the following is not a characteristic of a copy constructor in C++?,A) It creates a new object as a copy of an existing object.,B) It can be called implicitly.,C) It can only be defined explicitly by the programmer.,D) It takes a reference to an object of the same class as a parameter.,C,1
80,Which of the following is not a storage class specifier in C++?,A) auto,B) static,C) extern,D) friend,D,1
81,Which data structure uses LIFO (Last In First Out) method to access elements?,A) Stack,B) Queue,C) Linked List,D) Array,A,1
82,What is the worst-case time complexity of binary search?,A) O(1),B) O(n),C) O(log n),D) O(n log n),C,1
83,"Which of the following data structures allows constant time O(1) for insertion, deletion, and search?",A) Array,B) Linked List,C) Hash Table,D) Binary Search Tree,C,1
84,Which algorithm is used to find the shortest path in a weighted graph?,A) Depth-First Search,B) Breadth-First Search,C) Dijkstra's Algorithm,D) Kruskal's Algorithm,C,1
85,What is the time complexity of merge sort in the worst case?,A) O(n),B) O(n log n),C) O(n^2),D) O(n^2 log n),B,1
86,Which of the following is true about a circular linked list?,A) Last node points to the first node.,B) It can be singly or doubly linked.,C) Traversal can start at any node.,D) All of the above,D,1
87,Which of the following is not an application of a stack?,A) Function call management,B) Undo mechanism in text editor,C) Job scheduling in an operating system,D) Parenthesis checking in expressions,C,1
88,What is the height of an AVL tree with n nodes?,A) O(n),B) O(log n),C) O(n log n),D) O(1),B,1
89,Which of the following data structures can be used to implement recursion?,A) Stack,B) Queue,C) Array,D) Linked List,A,1
90,What is the purpose of a sentinel node in a linked list?,A) To mark the end of the list,B) To make list operations more uniform,C) To avoid special cases for empty lists,D) All of the above,D,1
91,"What will be the output of the following code?         cpp std::vector<int> v = {1, 2, 3, 4, 5}; v.erase(v.begin() + 2); for(int i : v) std::cout << i << "" ""; ",A) 1 2 4 5,B) 1 2 3 4,C) 1 3 4 5,D) 1 2 3 5,A,4
92,Which of the following is the correct syntax to create a vector of integers in C++?,A) vector<int> v;,B) std::vector<int> v;,C) vector of int v;,D) int vector v;,B,1
93,Which of the following is the correct way to define a constant member function in C++?,A) void func() const;,B) const void func();,C) void const func();,D) const func() void;,A,1
94,Which of the following is not a standard exception in C++?,A) std::bad_alloc,B) std::runtime_error,C) std::bad_cast,D) std::bad_input,D,1
95,Which of the following statements is true about templates in C++?,A) Templates allow functions and classes to operate with generic types.,B) Templates are used for runtime polymorphism.,C) Templates are not type-safe.,D) Templates cannot be overloaded.,A,1
96,Which of the following is the correct way to initialize a map in C++?,"A) std::map<int, std::string> m;","B) map<int, string> m;","C) std::map m<int, std::string>;",D) map of int and string m;,A,1
97,Which of the following is not a feature of object-oriented programming in C++?,A) Encapsulation,B) Inheritance,C) Polymorphism,D) Pointers,D,1
98,"What will be the output of the following code?       cpp int x = 5, y = 10; const int* ptr = &x; ptr = &y; std::cout << *ptr; ",A) 5,B) 10,C) 15,D) Compilation error,B,4
99,Which of the following is not a feature of object-oriented programming in C++?,A) Encapsulation,B) Inheritance,C) Polymorphism,D) Pointers,D,1
100,Which of the following data structures is not a linear data structure?,A) Stack,B) Queue,C) Binary Tree,D) Array,C,1
101,What is the time complexity of searching for an element in a balanced binary search tree?,A) O(1),B) O(log n),C) O(n),D) O(n log n),B,2
102,Which of the following operations is not performed in constant time on a doubly linked list?,A) Insertion at the beginning,B) Deletion at the end,C) Accessing a middle element,D) Deletion at the beginning,C,2
103,Which data structure is used to perform recursion?,A) Queue,B) Stack,C) Linked List,D) Array,B,2
104,Which of the following is true about a full binary tree?,A) Every node has either 0 or 2 children.,B) All levels except possibly the last are completely filled.,C) All leaves are at the same level.,D) Every node has at most 2 children.,A,2
105,Which of the following algorithms can be used to sort a linked list?,A) Quick Sort,B) Merge Sort,C) Bubble Sort,D) All of the above,D,2
106,Which of the following data structures is best suited for implementing a priority queue?,A) Stack,B) Linked List,C) Binary Heap,D) Array,C,2
107,What is the time complexity of the breadth-first search (BFS) algorithm in a graph?,A) O(V + E),B) O(V^2),C) O(E log V),D) O(E^2),A,2
108,What is the main advantage of using a linked list over an array?,A) Fast access to elements,B) Fixed size,C) Dynamic size,D) Less memory usage,C,2
109,Which of the following is true about a depth-first search (DFS) algorithm?,A) It uses a queue.,B) It explores all nodes at the present depth level before moving on to nodes at the next depth level.,C) It uses a stack.,D) It finds the shortest path in an unweighted graph.,C,2
110,Which of the following is not a property of a red-black tree?,A) Every node is either red or black.,B) The root is always black.,C) All leaves are black.,D) Every path from a node to its descendant leaves has the same number of black nodes.,C,2
111,Which of the following is true about a min-heap?,A) The root contains the largest element.,B) Every node is smaller than or equal to its children.,C) It is a complete binary tree.,D) Both B and C.,D,2
112,What is the time complexity of inserting an element into a hash table (assuming no collisions)?,A) O(1),B) O(log n),C) O(n),D) O(n log n),A,2
113,Which of the following sorting algorithms is not in-place?,A) Quick Sort,B) Merge Sort,C) Heap Sort,D) Insertion Sort,B,2
114,Which data structure is most suitable for implementing a direct access table?,A) Array,B) Linked List,C) Stack,D) Queue,A,2
115,Which of the following operations does not necessarily require modification of the structure in a linked list?,A) Insertion,B) Deletion,C) Traversal,D) Searching,C,2
116,Which of the following is a disadvantage of using a singly linked list?,A) Insertion and deletion at the beginning are difficult.,B) Requires more memory per element due to pointers.,C) Cannot be traversed in reverse.,D) Fixed size.,C,2
117,Which of the following data structures is used to convert infix expressions to postfix expressions?,A) Queue,B) Stack,C) Linked List,D) Binary Tree,B,2
118,What is the best case time complexity of Bubble Sort?,A) O(n),B) O(n log n),C) O(n^2),D) O(1),A,2
119,Which of the following traversals is used to get the prefix expression of a binary tree?,A) Inorder,B) Postorder,C) Preorder,D) Level-order,C,2
120,Which of the following correctly describes a lambda expression in C++?,A) capture list -> return type { body },B) (parameters) [capture list] -> return type { body },C) [capture list] -> return type (parameters) { body },D) { body } -> return type [capture list] (parameters),A,2
121,Which of the following is not a valid way to declare an array in C++?,A) int arr[5];,"B) int arr[] = {1, 2, 3};","C) int arr[5] = {1, 2, 3};",D) int arr[5] = new int[5];,D,2
122,Which of the following is true about the 'const' keyword in C++?,A) It can be used to declare constants.,B) It can be used with member functions to prevent modification of member variables.,C) It can be used with pointers to prevent modification of the value pointed to.,D) All of the above,D,2
123,What will be the output of the following code?       cpp int a = 10; int *p = &a; *p = 20; std::cout << a; ,A) 10,B) 20,C) 0,D) Compilation error,B,4
124,Which of the following is the correct way to declare a reference variable in C++?,A) int &ref = 10;,B) int ref = &a;,C) int &ref = a;,D) int *ref = a;,C,2
125,Which of the following operators cannot be overloaded in C++?,A) +,B) -,C) ::,D) [],C,2
126,Which of the following is used to handle exceptions in C++?,A) try,B) catch,C) throw,D) All of the above,D,2
127,Which of the following is a valid way to define a constant pointer to an integer in C++?,A) const int *p;,B) int const *p;,C) int *const p;,D) const int *const p;,C,2
128,Which of the following sorting algorithms is the fastest for large datasets?,A) Bubble Sort,B) Insertion Sort,C) Quick Sort,D) Selection Sort,C,2
129,Which data structure is used for breadth-first traversal of a graph?,A) Stack,B) Queue,C) Linked List,D) Array,B,2
130,What is the primary disadvantage of using an array to implement a stack?,A) Slow access time,B) Fixed size,C) High memory usage,D) No random access,B,2
131,Which data structure is used for implementing an undo mechanism in text editors?,A) Queue,B) Stack,C) Linked List,D) Array,B,2
132,Which of the following algorithms can be used to find the minimum spanning tree of a graph?,A) Dijkstra's Algorithm,B) Kruskal's Algorithm,C) Bellman-Ford Algorithm,D) Floyd-Warshall Algorithm,B,2
133,Which of the following is a self-balancing binary search tree?,A) AVL Tree,B) Binary Heap,C) B-Tree,D) Red-Black Tree,A,2
134,Which of the following data structures can be used to implement a LIFO (Last In First Out) order?,A) Queue,B) Stack,C) Priority Queue,D) Linked List,B,2
135,What is the worst-case time complexity of inserting an element into a binary search tree?,A) O(1),B) O(log n),C) O(n),D) O(n log n),C,2
136,What is the main advantage of using a hash table over a binary search tree?,A) Faster search time in the average case,B) Easier to implement,C) Uses less memory,D) Maintains sorted order of elements,A,2
137,Which of the following is true about a circular queue?,A) It allows insertion and deletion from both ends.,B) It overcomes the problem of wasted space in a linear queue.,C) It allows random access to elements.,D) It cannot be implemented using arrays.,B,2
138,What is the time complexity of inserting an element at the beginning of a singly linked list?,A) O(1),B) O(log n),C) O(n),D) O(n log n),A,2
139,Which traversal algorithm uses a stack as its auxiliary data structure?,A) Breadth-First Search,B) Depth-First Search,C) Level-Order Traversal,D) Inorder Traversal of a binary tree,B,2
140,Which of the following data structures is not suitable for representing a sparse matrix?,A) Array,B) Linked List,C) Hash Table,D) List of Lists,A,2
141,What is the main advantage of a doubly linked list over a singly linked list?,A) Less memory usage,B) Easier insertion and deletion at both ends,C) Faster search time,D) Simple implementation,B,2
142,Which of the following algorithms can be used to detect a cycle in a graph?,A) Breadth-First Search,B) Depth-First Search,C) Kruskal's Algorithm,D) Dijkstra's Algorithm,B,2
143,Which of the following data structures is best suited for implementing a direct access table?,A) Array,B) Linked List,C) Stack,D) Queue,A,2
144,What is the primary disadvantage of using an array to implement a queue?,A) Slow access time,B) Fixed size,C) High memory usage,D) No random access,B,2
145,Which of the following is not a balanced binary search tree?,A) AVL Tree,B) Red-Black Tree,C) B-Tree,D) Binary Heap,D,2
146,What is the primary use of a hash function in a hash table?,A) To map keys to unique integers,B) To sort keys,C) To perform arithmetic operations on keys,D) To traverse the hash table,A,2
147,Which of the following statements is true about a doubly linked list?,A) It requires more memory per node compared to a singly linked list.,B) It can be traversed in only one direction.,C) It has a fixed size.,D) It does not allow insertion at the end.,A,2
148,Which of the following is a correct way to declare a function pointer in C++?,A) int *f();,B) int (*f)();,C) int (f)();,D) int f();,B,2
149,"What will be the output of the following code?  cpp int arr[] = {10, 20, 30}; std::cout << sizeof(arr) / sizeof(arr[0]); ",A) 1,B) 2,C) 3,D) 10,C,4
150,Which of the following is used to access members of a structure through a pointer in C++?,A) .,B) ->,C) &,D) *,B,2
151,Which of the following is not a C++ access specifier?,A) public,B) private,C) protected,D) internal,D,2
152,Which of the following is the correct syntax for a destructor in C++?,A) void ClassName();,B) ClassName();,C) void ClassName::();,D) ClassName::();,B,2
153,"What is the output of the following code? cpp std::string s = ""Hello""; s += "" World""; std::cout << s;",A) Hello,B) HelloWorld,C) Hello World,D) Compilation error,C,4
154,Which of the following is the correct way to declare a pure virtual function in C++?,A) .,B) ::,C) ->,D) &,B,3
155,Which of the following data structures allows dynamic resizing?,A) Array,B) Linked List,C) Stack,D) Queue,B,3
156,What is the time complexity of deleting an element from a binary heap?,A) O(1),B) O(log n),C) O(n),D) O(n log n),B,3
157,Which of the following traversal methods is used to convert a binary search tree into a sorted list?,A) Preorder,B) Postorder,C) Inorder,D) Level-order,C,3
158,Which data structure is used to manage the program call stack?,A) Queue,B) Stack,C) Array,D) Linked List,B,3
159,What is the main difference between a B-tree and a binary search tree?,A) B-trees have a higher height.,B) B-trees can have more than two children.,C) B-trees are not balanced.,D) B-trees are used for sequential access only.,B,3
160,Which of the following data structures is used to implement depth-first traversal of a graph?,A) Queue,B) Stack,C) Linked List,D) Array,B,3
161,What is the best case time complexity of the quicksort algorithm?,A) O(n),B) O(n log n),C) O(n^2),D) O(1),B,3
162,Which of the following data structures is used to implement priority queues?,A) Stack,B) Queue,C) Linked List,D) Binary Heap,D,3
163,Which of the following operations is not performed in constant time on a stack implemented using an array?,A) Push,B) Pop,C) Top,D) Size,D,3
164,What is the worst-case time complexity of the merge sort algorithm?,A) O(n),B) O(n log n),C) O(n^2),D) O(log n),B,3
165,Which of the following data structures is used to represent a hierarchical relationship among elements?,A) Array,B) Stack,C) Queue,D) Tree,D,3
166,Which of the following data structures is used for implementing a double-ended queue (deque)?,A) Array,B) Linked List,C) Stack,D) Both A and B,D,3
